Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389.JPG,Tomato___Early_blight,1270.2278952205884,1919.1931872356786,1045.8190257352942,1338.9103267973853,0.5761137854812175,0.5548059067300045,0.5828473499248614,0.5672925171915069,11.112392769607842,14.578592848904272,10.074571078431372,11.851226451364857,4.752596709099304,4.85375418190875,4.7249348440552215,4.798669857173765,0.2613847878473347,0.25551374275501937,0.26710430750980685,0.26153330527799523,0.511258044286185,0.5054836720953698,0.5168213497039444,0.5114032706954417,0.7957476567802366,0.6835945610699953,0.8283086706825507,0.7792863802697613
0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.JPG,Tomato___Early_blight,1955.3382659313725,2645.501222606689,1755.6450214460788,2753.3691810841974,0.7579737173915876,0.7291016588776396,0.7482985891771305,0.727317752174495,9.869730392156862,13.56273740868896,9.568918504901964,14.078446751249516,2.996573516363153,3.1438018271081383,3.0574609241418402,3.156115014009435,0.4452675049344378,0.43565863837600666,0.4475539091081632,0.4346442389516582,0.6672836765083031,0.6600444215172239,0.6689947003588019,0.6592755409930344,0.7878352317237793,0.713505420012424,0.8093408864580042,0.701823858426268
004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253.JPG,Tomato___Early_blight,1843.829580269608,2604.557093425605,2134.8497549019608,2916.699684736639,0.47358292658292056,0.45325804596223235,0.46903650396753815,0.4478435064595964,17.63696384803922,21.316216839677043,18.47386642156863,22.780422914263738,6.094607680464423,6.185949762616571,6.100165499492028,6.212054175990573,0.15839034019273696,0.15089056150733735,0.15503846998262397,0.14898254286901436,0.3979828390681399,0.3884463431509394,0.39374924759626395,0.38598256808956327,0.8361996877427101,0.7685602665860947,0.811725577476209,0.7408234209233507
0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437.JPG,Tomato___Early_blight,1209.3724264705884,1715.511726259131,1227.5871017156865,1779.1107112648979,0.6842171755233032,0.6695035640547565,0.6847172101390767,0.668128952791658,9.31608455882353,11.84876585928489,9.101593137254904,12.128135332564396,3.8029822471386274,3.8738231062575936,3.7838155728469585,3.87702015376479,0.39349085824299856,0.38589626495945933,0.3931025171921556,0.38542627283357866,0.6272884968202418,0.6212054933429512,0.6269788809777851,0.6208270877092741,0.85012662477507,0.7877851385552824,0.8486537494796325,0.7799177194147239
011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251.JPG,Tomato___Early_blight,1652.1825520833333,2290.145405613226,1922.1923713235296,2547.5676585928495,0.5778718427204098,0.5595731017855157,0.5717619751555655,0.5530267782372708,14.724004289215685,18.083552479815456,15.943167892156865,19.10322183775471,5.018745605510373,5.118294745627324,5.044542259581689,5.1281703402573235,0.2624512876798812,0.25367364771571455,0.25850037794395486,0.2504328169998201,0.5122999977355858,0.5036602502835761,0.5084293244335488,0.5004326298312493,0.8228457824110085,0.7548682396299916,0.7957158108193587,0.7273143690868188
01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.JPG,Tomato___Early_blight,2548.421461397058,3656.043752402922,2201.75871629902,3265.4299577085735,0.7699408378436989,0.7489907188595984,0.7754543725370047,0.7554902431414147,13.57002144607843,18.28199923106498,12.064292279411765,16.659823144944248,2.7318651620104264,2.799742312718643,2.709502951447057,2.777092837038712,0.48387930137109203,0.4698586849969424,0.4881988313023011,0.4762050625842452,0.6956143337878339,0.6854623877332311,0.6987122664604516,0.6900761281077945,0.7815559901699396,0.685083456751684,0.8115951318177231,0.718729319411124
0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829.JPG,Tomato___Early_blight,2008.5021139705882,3000.8272971933866,1982.1365655637255,2671.4355094194543,0.7969441237518441,0.7796637201175608,0.7976695362237177,0.7849824945286086,12.202665441176471,16.215317185697813,12.046461397058824,15.160292195309498,2.466365673860688,2.524974150116011,2.4670190366739364,2.5188565334566166,0.5557793081856289,0.5417007808045913,0.555428597737349,0.5452378424233076,0.7455060752171164,0.7360032478220401,0.7452708217402242,0.738402222655991,0.813254127027071,0.7203497372500135,0.8157659280090822,0.751062530236513
023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354.JPG,Tomato___Early_blight,889.6578584558824,1334.8551326412912,873.5026654411765,1292.181976163014,0.595482397098606,0.5365882768287242,0.5718886043329293,0.5469021244259954,6.008471200980392,9.205059592464435,6.544209558823529,8.604306036139944,4.758314246065483,5.046487492035441,4.886240585325637,4.981458919895996,0.1858907118947265,0.1803017070446243,0.18616299603912115,0.1818632691622909,0.4311504515766237,0.4246194850034844,0.4314661006836124,0.42645429903131576,0.8251667699199783,0.7328073737273624,0.8276916100080413,0.7413490892079128
0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.JPG,Tomato___Early_blight,1534.8418504901965,2303.5550941945403,1693.3033394607849,2369.149957708572,0.8021334911417546,0.7806365091029617,0.7936644830166911,0.7795165335599828,8.303125000000003,12.103498654363705,9.383731617647062,12.506912725874656,2.4813555221885535,2.5858430322600037,2.5318414566306733,2.5973174284957716,0.5487107446091956,0.5362945325645166,0.5454323357593465,0.5354291661696376,0.7407501229221602,0.732321331496302,0.7385339096882055,0.7317302550596344,0.80364723716639,0.7062211524881589,0.7833752129495851,0.6978556554117425
0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446.JPG,Tomato___Early_blight,1757.963848039216,2293.785959246444,1825.4770833333334,2325.622083813918,0.5063397974647211,0.4905235518627793,0.5021514759151373,0.489891802791039,17.5280943627451,20.572733564013845,18.42297794117647,20.733348712033834,5.633968510057786,5.720156096325972,5.664994452415598,5.725901766635193,0.20331311793109186,0.19645678784710166,0.20250361764123934,0.19619412744721104,0.45090255924211814,0.4432344614841017,0.4500040195834248,0.44293806276635456,0.7890640165687601,0.7241203315007126,0.7802194246489969,0.7202913170904657
